number,episode_title,title,episode_description,vimeo_link,Vimeo Folder,podcast_id,duration_wordpress,date_added,created,Record ID,Added,Transcript ID,wordpress_permalink,wordpress_id,Recordingdate,Wordpress Created,recordID,Transcript,Update on Website,Update Website,get_audio,vimeo_id,audio_link,Youtube Link,get_transcript,srt,podcast_link,Short 1,Short 2,Short 3
16,"פרק 16: הסודות של חודש אלול- על רחמים, תשובה והתחלה חדשה","הסודות של חודש אלול- על רחמים, תשובה והתחלה חדשה","חודש אלול נחשב על פי הקבלה לחלון זמן ייחודי שבו אנרגיית הרחמים והשינוי זמינה יותר מאשר בכל זמן אחר בשנה. אבל מהי בעצם תשובה? האם היא קשורה רק למעשים חיצוניים, או בעיקר לשינוי פנימי של הלב והתודעה?

בפרק הזה של המקובלים נדבר על המשמעות הרוחנית של חודש אלול, נבין למה כל כך קשה לנו להודות בטעויות שלנו, איך אפשר לעשות חשבון נפש בלי ליפול לרגשות אשם וביקורת עצמית, ואיך הופכים חרטה לכוח שמניע לצמיחה.

בסיום הפרק נשתף גם בתרגיל פשוט שיעזור לכם להתכונן לראש השנה ולעשות את הצעדים הראשונים בדרך לשינוי אמיתי.

קצר 1- כשאנחנו מתנהגים בצורה אנוכית- אנחנו יוצרים ריחוק מהבוא. בחודש אלול הבורא נותן לנו הזדמנות להתקרב אליו מחדש.

קצר 2- איך עושים תשובה מעומק הלב? אבנר בסיפור אישי מרגש

קצר 3- המצוות מעולם לא נועדו להיות דת. הן נועדו לחבר ביננו לבין הבורא. ",https://vimeo.com/1214934033/416ced99f2?share=copy&fl=sv&fe=ci,,2lhVF8zJKAPzjAAx1TgYzZ,31:15,2026-08-02,8/2/2026 11:53,recn60NhZGbho7LDY,,,,,2026-8-2,,recn60NhZGbho7LDY,,,,,1214934033,,https://youtu.be/LmKTorKjC4k,,,https://open.spotify.com/episode/2lhVF8zJKAPzjAAx1TgYzZ,https://vimeo.com/1214956921/d01ac1cc9e,https://vimeo.com/1214956919/5e79768752,https://vimeo.com/1214956922/5d81baf85d
15,"פרק 15: הסוד של ט""ו באב","הסוד של ט""ו באב","בפרק 15 של המקובלים אנחנו צוללים למשמעות הרוחנית של ט״ו באב - שהוא לא סתם ”יום האהבה”. מהו האירוע הקוסמי שמתרחש ביום הזה, מהו זיווג קוסמי על פי הקבלה, ואיך עבודה פנימית, צמיחה רוחנית ופתיחת הלב יכולות לקרב אותנו לאנשים שנועדנו לפגוש?
נדבר על סוד החיבור בין נשמות, ונשתף כלים מעשיים ומדיטציה מיוחדת מט״ו באב לחיזוק מערכות יחסים ולמשיכת הזיווג הנכון.

מוזמנים להצטרף אלינו לאירוע ט""ו באב במרכז הקבלה בתל אביב.
28.7 הירקון 104 19:00

SHORTS

אם אתם לבד ולא מבינים למה האהבה לא מגיעה אליכם- זה מה שאתם צריכים לעשות

הזיווג שלכם מחכה לכם כבר מהרגע שנולדתם. אם תפגשו אותו או לא- זה תלוי רק בכם",https://vimeo.com/1211937997/e4e0864bef?share=copy&fl=sv&fe=ci,,6C7wHH5Nj6bSXtcLVn4LAe,23:17,2026-07-25,7/23/2026 10:49,recnuel9sncLKWtsg,,,,,2026-7-25,,recnuel9sncLKWtsg,,,,,1211937997,,https://youtu.be/4cOb2v0fs4A,,,https://open.spotify.com/episode/6C7wHH5Nj6bSXtcLVn4LAe,https://vimeo.com/1212280805/dfa5a30330,https://vimeo.com/1212280806/ad17089fe7,https://vimeo.com/1213015529/9b1d8cd25c
14,פרק 14: כששני אנשים הפוכים נפגשים - הם יכולים לשנות את העולם,כששני אנשים הפוכים נפגשים - הם יכולים לשנות את העולם,"הפרק הזה מוקדש למורה שלנו, האישה שפתחה את שערי חוכמת הקבלה לכל אדם – קרן ברג.

כשקרן והרב ברג נפגשו, הם היו שני אנשים שלא יכלו להיות שונים יותר. הרב הגיע ממשפחה של רבנים אורתודוקסים מברוקלין. קרן גדלה בבית חילוני וליברלי. הוא בחליפה ובשטריימל, והיא במיני ובסיגריה.

לכאורה – שני עולמות שלא יכולים להתחבר. אבל הייתה להם מטרה אחת משותפת: לאפשר לכל אדם בעולם להכיר את חוכמת הקבלה ולהנגיש אותה לכל מי שמבקש משמעות, בלי קשר לדת, לרקע או לאורח החיים שלו.

בתשעה באב 2020 קרן עזבה את העולם והתאחדה עם החצי השני שלה – הרב ברג.

הפרק הזה מוקדש לזכרה, ולרעיון שלפעמים דווקא החיבור בין שני הפכים הוא זה שמצליח לשנות את העולם.

קצר 1- האישה שבזכותה כולם יכולים ללמוד קבלה- קרן ברג
קצר 2- כשבן אדם משפיע לטובה על אחרים- האור משפיע לטובה עליו
קצר 3: כששני אנשים הפוכים נפגשים- הם יכולים לשנות את העולם.",https://vimeo.com/1209197271/1b632fbaa6?share=copy&fl=sv&fe=ci,,6gwE9BdUPlBsQVA38fq61R,27:49,2026-07-15,7/14/2026 12:52,recYTSAFuHBDKDies,,,,,2026-7-15,,recYTSAFuHBDKDies,,,,,1209197271,,https://youtu.be/L4v4VfCZxNo,,,https://open.spotify.com/episode/6gwE9BdUPlBsQVA38fq61R,https://vimeo.com/1210455772/d4d62765a5,https://vimeo.com/1210455770/e2388ce5b5,https://vimeo.com/1210455771/1e52a3a013
13,פרק 13: גלגולי נשמות- מסע הנשמה בעולם הזה ובעולם הבא (חלק 2),גלגולי נשמות- מסע הנשמה בעולם הזה ובעולם הבא (חלק 2),"בפרק הזה אנחנו ממשיכים את המסע שלנו אל עומק גלגול הנשמות, והפעם: מה קורה לנשמה אחרי שהחיים בעולם הזה מסתיימים?

אבנר ואני ננסה להבין מה אומרת הקבלה על המסע של הנשמה אחרי המוות: האם הנשמה מרגישה כאב ברגע המוות? האם אפשר ליצור קשר עם אנשים שנפטרו, ואם כן - האם זה נכון? האם נשמה יכולה לחזור לאותה משפחה, או להתגלגל גם בבעלי חיים או בצמחים, ומה ההבדל בין נשמות “צעירות” ל”זקנות”?

נדבר גם על מושג התיקון האישי והקולקטיבי ונבחן האם מגיע שלב שבו הנשמה מסיימת את מסעה ואינה זקוקה עוד לגלגולים נוספים.

ובסוף הפרק נענה על שאלות מהקהל שלנו לגבי המסע האישי שלהם

קצר 1-הכאב היחיד של הנשמה שלנו כשאנחנו מתים- הוא על הדברים שפספסנו ולא עשינו

קצר 2- מה קורה לנשמה אחרי המוות?

קצר 3- האם נשמה של אדם יכולה להתגלגל לתוך בעל חיים או דומם?

קצר 4- האם אפשר ליצור קשר עם המתים? מה מותר ומה לא מומלץ לעשות

(תבחרו את אלה שנראים לכם הכי חזקים)",https://vimeo.com/1204495420/e05460de1f?share=copy&fl=sv&fe=ci,,3RbqvAo6yC59u4LL2DXD4C,30:04,2026-07-08,6/30/2026 08:35,rechblvYN3OZbphNo,,,,,2026-7-8,,rechblvYN3OZbphNo,,,,,1204495420,,https://youtu.be/UFlUltzixHU,,,https://open.spotify.com/episode/3RbqvAo6yC59u4LL2DXD4C,https://vimeo.com/1208196739/14a8638d90,https://vimeo.com/1208196737/1d54bcc209,https://vimeo.com/1208196740/92f714a827
12,פרק 12: גלגולי נשמות- מסע הנשמה בעולם הזה ובעולם הבא (חלק 1),גלגולי נשמות- מסע הנשמה בעולם הזה ובעולם הבא (חלק 1),"האם החיים שלנו מתחילים בלידה ומסתיימים במוות, או שהנשמה שלנו נמצאת במסע ארוך הרבה יותר?

בפרק הזה של המקובלים אנחנו צוללים לאחד הנושאים המרתקים ביותר בחכמת הקבלה - גלגולי נשמות. 
מה זה בכלל גלגול נשמות? למה הנשמה חוזרת שוב לעולם? האם היא בוחרת את המשפחה והנסיבות שבהן תיוולד? האם אנשים מסוימים מלווים אותנו מגלגולים קודמים, והאם אפשר להשלים את התיקון שלנו כבר בגלגול הזה?

נדבר גם על האפשרות להכיר את הגלגולים הקודמים שלנו, ואיזה רמזים או סימנים יכולים לרמז לנו על המסע של הנשמה שלנו?

פרק שפותח צוהר לאחת התפיסות העמוקות והמסקרנות ביותר של חוכמת הקבלה - ומציע דרך חדשה להסתכל על החיים, על האתגרים שלנו ועל המשמעות שמאחוריהם.

קצר 2- למה בכלל כדאי ללמוד על גלגול נשמות? אבנר משתף בסיפור מדהים

קצר 1 הוא לא הנכון, בקרוב יהיו עוד",https://vimeo.com/1204495152/8083b8e057?share=copy&fl=sv&fe=ci,,2amQDjgwz908VEZiArDPsH,26:08,2026-07-01,6/30/2026 08:35,rechU8Bdgq2dLvWG2,,,,,2026-7-1,,rechU8Bdgq2dLvWG2,,,,,1204495152,,https://youtu.be/JAnZW1Dr97c,,,https://open.spotify.com/episode/2amQDjgwz908VEZiArDPsH,https://vimeo.com/1206031236/76f19315fa,https://vimeo.com/1206031235/2514ff634d,
11,"פרק 11: זמן לריפוי, הסוד הקבלי של בין המצרים","זמן לריפוי, הסוד הקבלי של בין המצרים","כולנו שמענו על בין המצרים ותשעה באב כתקופה שצריך “להיזהר” בה, אבל מה באמת קורה בימים האלה מבחינה רוחנית?
בפרק הזה אנחנו צוללים אל אחת התקופות הכי עוצמתיות ולא תמיד מובנות בלוח השנה הקבלי, ומנסים להבין למה היא מתחילה דווקא בחודש תמוז ומגיעה לשיאה בתשעה באב. על פי הקבלה, התקופה הזו היא לא רק זיכרון היסטורי של חורבן, אלא חלון בזמן שבו מתגלה אנרגיה חזקה מאוד, כזו שיכולה להציף לחץ, עצבות, כעסים ופחדים, אבל גם לפתוח פתח לריפוי, שפע וניסים.
נדבר על הקשר בין חודש תמוז למזל סרטן, בין חודש אב למזל אריה, ועל האופן שבו התכונות של שני המזלות האלה משפיעות על המודעות שלנו בתקופה הזו: רגישות, פגיעות, צורך בביטחון, אגו, גאווה וכוח פנימי. ננסה להבין למה דווקא בימים האלה היריב מופיע בעוצמה גדולה יותר, ומה זה אומר על כל אחד מאיתנו באופן אישי.
נשאל למה אנחנו בכלל צריכים תקופה שמעלה כל כך הרבה עומס רגשי, מה המקובלים אומרים על הכעסים והעצבות שמתעוררים בה, ואיך אפשר להפוך ימים שנראים מאתגרים להזדמנות אמיתית לשינוי.
וגם: למה תשעה באב מייצג חורבן בתרבות היהודית, מה המשמעות הקבלית של החורבן הזה, ואיך דווקא בתוך התקופה הזו מתגלה אנרגיה של ריפוי, אור והתחלה חדשה.",https://vimeo.com/1197953056/a4a8c365d4?share=copy&fl=sv&fe=ci,https://vimeo.com/user/19743394/folder/29448320?isPrivate=false,11xjCPFsPMLzQHvQzSprQA,23:53,2026-06-24,6/17/2026 20:53,recuI6YIuXw4LK8Jr,,,,,2026-6-24,,recuI6YIuXw4LK8Jr,,,,,1197953056,,https://youtu.be/HqFGPrEkIdk,,,https://open.spotify.com/episode/11xjCPFsPMLzQHvQzSprQA,https://vimeo.com/manage/videos/1203794768/de4413309c?utm_source=email&utm_medium=vimeo-email&utm_campaign=38005,https://vimeo.com/1203794739/435ab1e8c1,https://vimeo.com/1204225099/925e7b32c2
10,פרק 10.2:  כסף ופרנסה- איך לפתוח את צינורות השפע?, כסף ופרנסה- איך לפתוח את צינורות השפע?,"כולנו רוצים יותר שפע בחיים, אבל מה אם כסף הוא בכלל לא מה שחשבנו?

בפרק הזה אנחנו צוללים אל התפיסה הקבלית של כסף, פרנסה ושפע, ומגלים מדוע כסף הוא הרבה יותר מנייר, מספרים בחשבון הבנק או אמצעי לקניית דברים. על פי הקבלה, כסף הוא ביטוי של אנרגיית השפע האלוקית, וכל אחד מאיתנו נפגש איתו כחלק מהתיקון האישי של הנשמה.

נדבר על האמונות המגבילות שמרחיקות אותנו משפע, על הקשר בין דאגות ופחדים לבין חסימת צינורות הפרנסה, ועל השאלה שמעסיקה רבים: איך אפשר לרצות כסף, להתפרנס היטב ואפילו להתעשר – בלי להפוך את זה למרדף?
ננסה להבין מה באמת מבדיל בין אנשים שחיים בתודעת שפע לבין מי שחווים מחסור, ונחשוף כלים מעשיים מהקבלה ומהזוהר שיכולים לעזור לנו להתחבר לכוח השפע בחיינו.

וגם: מה ההבדל בין צדקה למעשר, מדוע שני הכלים הללו נחשבים למפתחות רוחניים לשפע, ואיך משתמשים בהם נכון.

קצר 1- הכח של מעשר- מערכת ההגנה הטובה ביותר לכסף שלכם
קצר 2- סיבה מספר אחת לעצירת השפע- פחדים ודאגות
קצר 3- ההבדל בין מליונרים לבין אנשים שאין להם כסף במילה אחת: רצון
",https://vimeo.com/1199134755/b73b21329c?share=copy&fl=sv&fe=ci,,3JcCgmrZN8V29ZdtqY6FO7,38:30,2026-06-17,6/7/2026 13:13,rec9UMnPFIz8KiVAC,,,,,2026-6-17,,rec9UMnPFIz8KiVAC,,,,,1199134755,,https://youtu.be/lsKflRYcCrk,,,https://open.spotify.com/episode/3JcCgmrZN8V29ZdtqY6FO7,https://vimeo.com/1200118862/056b35f5ca,https://vimeo.com/1200118861/caedc26a14,https://vimeo.com/1199134755/b73b21329c
9,פרק 9.2: פחד- האויב הגדול ביותר או המורה הכי חשוב שלנו?,פחד- האויב הגדול ביותר או המורה הכי חשוב שלנו?,"כולנו מפחדים – מכישלון, מדחייה, ממחלות, מאובדן, ולפעמים אפילו מהצלחה. אבל מה באמת עומד מאחורי הפחד, ומדוע הוא מצליח לנהל את החיים של כל כך הרבה אנשים?

בפרק הזה אנחנו צוללים אל שורשי הפחד דרך עיני הקבלה, ובוחנים מה ההבדל בין פחד בריא שמגן עלינו לבין פחד שמגביל אותנו ומרחיק אותנו מהחיים שאנחנו רוצים לחיות. נדבר על מקורם של פחדים לא רציונליים, על הפחד של דוד המלך, ועל תובנה מפתיעה שעלתה ממאות ראיונות עם אנשים בסוף חייהם.

נגלה מה הזוהר מלמד על פחד,  ואילו כלים וטכניקות מהקבלה יכולים לעזור לנו להשתחרר מהפחד ולהתחבר לאמון עמוק יותר בחיים.

פרק לכל מי שאי פעם הרגיש שפחד מחזיק אותו במקום – ורוצה ללמוד איך להפוך אותו ממחסום למפתח לצמיחה. 

קצר 1: כל הפחדים מתחלקים ל2: פחד שמגיע מהאור ופחד שמגיע מהקליפה

קצר 2: הפחד העיקרי של הנשמה שלנו זה לא לממש את הייעוד שלה

קצר 3: הפחד הוא אשליה אחת גדולה",https://vimeo.com/1195884645/d0cf7b4ce8,https://vimeo.com/user/19743394/folder/29310446?isPrivate=false,5WnOv46N1StQ7PoWrZpgwI,34:31,2026-06-10,6/7/2026 13:15,reciieI5IpfDbW2Tk,,,,,2026-6-10,,reciieI5IpfDbW2Tk,,,,,1195884645,,https://youtu.be/RMNjfZvg4Uw,,,https://open.spotify.com/episode/5WnOv46N1StQ7PoWrZpgwI,https://vimeo.com/1199130031/2262e9dc43,https://vimeo.com/1199130051/838de01674,https://vimeo.com/1199130025/34d6bc5e37
8,פרק 8: נישואים וגירושים על פי חוכמת הקבלה,נישואים וגירושים על פי חוכמת הקבלה,"למה אנשים בכלל מתחתנים בעולם שבו הכול כל כך זמני?
בפרק הזה אנחנו צוללים אל תוך המשמעות העמוקה של זוגיות ונישואים - מה יש בטקס החתונה מבחינה רוחנית, למה הוא עדיין רלוונטי, ומה באמת מחזיק קשר לאורך שנים.

דיברנו על האתגרים שמגיעים עם ילדים ואיך הם מטלטלים כמעט כל מערכת יחסים, על זוגיות ככלי לצמיחה והתפתחות אישית, ועל העבודה מול האגו, הפחדים והדפוסים שכל קשר מציף.

אבל האם צריך להילחם על כל קשר בכל מחיר? איך יודעים מתי נכון להמשיך לעבוד על הזוגיות ומתי הגיע הזמן לשחרר?
וגם: האם גירושין הם באמת כישלון, או שהם חלק מהמסע שלנו ודווקא בפרק ב׳ אפשר למצוא את הנשמה המיועדת לנו?

קצר 1: למה בכלל צריך להתחתן? הקבלה מגלה שבטקס הנישואין יש סוד עמוק

קצר 2:מה הסוד לחיי נישואין מוצלחים? עבודה רוחנית, ושלא יגידו לכם אחרת

קצר 3: האם גירושים הם כשלון? ומה קורה לנשמה בתהליך",https://vimeo.com/1195885872/6cd2712140,https://vimeo.com/user/19743394/folder/29161234?isPrivate=false,0WGh8WJOqgtxFtJ7WiVcfx,39:54,2026-06-03,5/28/2026 15:10,recSFQKaY8ljTuRzW,,,,,2026-6-3,,recSFQKaY8ljTuRzW,,,,,1195885872,,https://youtu.be/5Xtfo_SxcDI,,,https://open.spotify.com/episode/0WGh8WJOqgtxFtJ7WiVcfx,https://vimeo.com/1196309032/367453b402,https://vimeo.com/1195928492/71d89b30d8,https://vimeo.com/1195928463/225a07e0f0
7,פרק 7: ?איך מוצאים זוגיות אמיתית בעולם של אינסוף אפשרויות,?איך מוצאים זוגיות אמיתית בעולם של אינסוף אפשרויות,"בפרק הזה של ״המקובלים״ אנחנו צוללים אל תוך עולם הזוגיות והדייטינג בעידן המודרני- מהשפע האינסופי של אפליקציות, סטוצים ואפשרויות, מי אמור לשלם על מי ומה לגבי יחסים פתוחים
ונגיע עד השאלה שכולנו מחפשים עליה תשובה: איך מוצאים חיבור אמיתי?
נדבר על נשמות תאומות, על המשמעות הרוחנית של אהבה ומחויבות, על ההבדל בין לחיות יחד לבין נישואין, ולמה דווקא מערכות יחסים מצליחות להציף בנו את המקומות הכי רגישים וכואבים. 
פרק עמוק ומעורר מחשבה על אהבה מול חופש, אינטימיות והתיקון שאנחנו עוברים דרך זוגיות.

תיאור קצר 1: מה קורה בזוגיות לא מונוגמית ברמה הרוחנית?
תיאור קצר 2: יש דבר כזה נשמות תאומות? מה כתוב על זה בזוהר?
תיאור קצר 3: האישה היא זו שעוזרת לגבר לגדול רוחנית- ולא להיפך
",https://vimeo.com/1191401289/b9278fd1fb,https://vimeo.com/user/19743394/folder/29088852?isPrivate=false,0owxKfEFolwzkzTa3gejqA,43:17,2026-05-26,5/24/2026 12:09,rec3aEKjzZlpRV5qn,,,,,2026-5-26,,rec3aEKjzZlpRV5qn,,,,checked,1191401289,https://drive.google.com/uc?export=download&id=1y-KnHKG1RvJkoFDlhvsUF3EODaYNTAiU,https://youtu.be/ktfGyaRPR7k,,,https://open.spotify.com/episode/0owxKfEFolwzkzTa3gejqA,https://vimeo.com/1192979238/bae8914f76,https://vimeo.com/1192979237/5fdcfde772,https://vimeo.com/1192979239/4e3f45727b
